"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"36";"56";"con_L_LeftUp";"default";"approved";"1031.81";"712.26";"1192.0";"871.0";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"37";"57";"con_L_LeftUp";"default";"approved";"306.14";"712.26";"1192.0";"871.0";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"38";"58";"con_L_LeftUp";"default";"approved";"714.33";"406.12";"1192.0";"871.0";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"39";"59";"con_L_LeftUp";"default";"approved";"124.72";"666.91";"1192.0";"871.0";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"40";"59";"con_L_LeftUp";"default";"approved";"136.06";"689.58";"1192.0";"871.0";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"41";"59";"con_L_LeftUp";"default";"approved";"1111.18";"802.97";"1192.0";"871.0";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"42";"60";"con_L_LeftUp";"default";"approved";"102.05";"700.92";"1192.0";"871.0";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"43";"60";"con_L_LeftUp";"default";"approved";"113.39";"723.6";"1192.0";"871.0";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"44";"60";"con_L_LeftUp";"default";"approved";"668.98";"700.92";"1192.0";"871.0";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"45";"60";"con_L_LeftUp";"default";"approved";"680.32";"723.6";"1192.0";"871.0";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"46";"61";"con_L_LeftUp";"default";"approved";"102.05";"700.92";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"47";"61";"con_L_LeftUp";"default";"approved";"113.39";"723.6";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"48";"61";"con_L_LeftUp";"default";"approved";"385.51";"700.92";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"49";"61";"con_L_LeftUp";"default";"approved";"396.85";"723.6";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"50";"61";"con_L_LeftUp";"default";"approved";"668.98";"700.92";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"51";"61";"con_L_LeftUp";"default";"approved";"680.32";"723.6";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"52";"61";"con_L_LeftUp";"default";"approved";"952.44";"700.92";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"53";"61";"con_L_LeftUp";"default";"approved";"963.78";"723.6";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"54";"62";"con_L_LeftUp";"default";"approved";"102.05";"700.92";"1192.0";"871.0";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"55";"62";"con_L_LeftUp";"default";"approved";"113.39";"723.6";"1192.0";"871.0";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"56";"62";"con_L_LeftUp";"default";"approved";"385.51";"700.92";"1192.0";"871.0";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"57";"62";"con_L_LeftUp";"default";"approved";"396.85";"723.6";"1192.0";"871.0";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
