"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"50";"93";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"51";"94";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"52";"95";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1"
"53";"96";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"54";"96";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K8.21M";"22";"21";"/78.7";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"55";"96";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K8.22M";"22";"21";"/78.8";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"56";"97";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
"57";"100";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28"
"58";"101";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29"
"59";"102";"contact_signal_NC_1";"A";"pending";"285.0";"587.53";"1192.0";"871.0";"";"21";"22";"6 14";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"60";"102";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K30.1M";"22";"21";"/84.7";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"61";"102";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K30.2M";"22";"21";"/84.8";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"62";"103";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K82.1M";"22";"21";"/85.7";"85";"29";"= 427";"+ 400A";"press";"spare";""
"63";"103";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K82.2M";"22";"21";"/85.8";"85";"29";"= 427";"+ 400A";"press";"spare";""
"64";"104";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K83.1M";"22";"21";"/86.7";"86";"29";"= 427";"+ 400A";"press";"spare";""
"65";"104";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K83.2M";"22";"21";"/86.8";"86";"29";"= 427";"+ 400A";"press";"spare";""
"66";"105";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K84.1M";"22";"21";"/87.7";"87";"29";"= 427";"+ 400A";"press";"spare";""
"67";"105";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K84.2M";"22";"21";"/87.8";"87";"29";"= 427";"+ 400A";"press";"spare";""
"68";"106";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K85.1M";"22";"21";"/88.7";"88";"29";"= 427";"+ 400A";"press";"spare";""
"69";"106";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K85.2M";"22";"21";"/88.8";"88";"29";"= 427";"+ 400A";"press";"spare";""
"70";"107";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K86.1M";"22";"21";"/88a.7";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"71";"107";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K86.2M";"22";"21";"/88a.8";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"72";"108";"contact_signal_NC_1";"A";"pending";"1009.14";"576.19";"1192.0";"871.0";"-K87.1M";"22";"21";"/88b.7";"88b";"29";"= 427";"+ 400A";"press";"spare";""
"73";"108";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K87.2M";"22";"21";"/88b.8";"88b";"29";"= 427";"+ 400A";"press";"spare";""
"74";"109";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"75";"109";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K301.1M";"22";"21";"/89.6";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"76";"109";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K301.2M";"22";"21";"/89.7";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"77";"109";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K301.3M";"22";"21";"/89.8";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"78";"109";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K301.4M";"22";"21";"/89.8";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"79";"110";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"80";"110";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K302.1M";"22";"21";"/90.6";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"81";"110";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K302.2M";"22";"21";"/90.7";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"82";"110";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K302.3M";"22";"21";"/90.8";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"83";"110";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K302.4M";"22";"21";"/90.8";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"84";"111";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"85";"111";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K303.1M";"22";"21";"/91.6";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"86";"111";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K303.2M";"22";"21";"/91.7";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"87";"111";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K303.3M";"22";"21";"/91.8";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"88";"111";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K303.4M";"22";"21";"/91.8";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"89";"112";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"90";"112";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K304.1M";"22";"21";"/92.6";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"91";"112";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K304.2M";"22";"21";"/92.7";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"92";"112";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K304.3M";"22";"21";"/92.8";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"93";"112";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K304.4M";"22";"21";"/92.8";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"94";"113";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"95";"113";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K305.1M";"22";"21";"/93.6";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"96";"113";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K305.2M";"22";"21";"/93.7";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"97";"113";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K305.3M";"22";"21";"/93.8";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"98";"113";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K305.4M";"22";"21";"/93.8";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"99";"114";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"100";"114";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K306.1M";"22";"21";"/94.6";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"101";"114";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K306.2M";"22";"21";"/94.7";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"102";"114";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K306.3M";"22";"21";"/94.8";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"103";"114";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K306.4M";"22";"21";"/94.8";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"104";"115";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"105";"115";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K307.1M";"22";"21";"/94a.6";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"106";"115";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K307.2M";"22";"21";"/94a.7";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"107";"115";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K307.3M";"22";"21";"/94a.8";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"108";"115";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K307.4M";"22";"21";"/94a.8";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"109";"116";"contact_signal_NC_1";"A";"pending";"409.72";"564.86";"1192.0";"871.0";"";"15";"16";"12 14";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"110";"116";"contact_signal_NC_1";"A";"pending";"873.08";"576.19";"1192.0";"871.0";"-K308.1M";"22";"21";"/94b.6";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"111";"116";"contact_signal_NC_1";"A";"pending";"782.37";"576.19";"1192.0";"871.0";"-K308.2M";"22";"21";"/94b.7";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"112";"116";"contact_signal_NC_1";"A";"pending";"1054.5";"576.19";"1192.0";"871.0";"-K308.3M";"22";"21";"/94b.8";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"113";"116";"contact_signal_NC_1";"A";"pending";"963.79";"576.19";"1192.0";"871.0";"-K308.4M";"21";"22";"/94b.8";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"114";"117";"contact_signal_NC_1";"A";"pending";"238.83";"372.1";"1192.0";"871.0";"";"95";"96";"2 4 6";"100";"29";"= 427";"+ 400A";"press";"central hydraulic band control";"427M?"
"115";"117";"contact_signal_NC_1";"A";"pending";"532.92";"394.77";"1192.0";"871.0";"+R";"95";"96";"-TCHRB";"100";"29";"= 427";"+ 400A";"press";"central hydraulic band control";"427M?"
"116";"118";"contact_signal_NC_1";"A";"pending";"566.94";"270.05";"1192.0";"871.0";"-K1M";"31";"32";"/95.6";"95";"4";"= 442";"+ 400A";"trim saw";"right hand side in front
spare";"442M1"
"117";"118";"contact_signal_NC_1";"A";"pending";"873.08";"610.21";"1192.0";"871.0";"-K1M";"22";"21";"/95.6";"95";"4";"= 442";"+ 400A";"trim saw";"right hand side in front
spare";"442M1"
"118";"119";"contact_signal_NC_1";"A";"pending";"566.94";"270.05";"1192.0";"871.0";"-K2M";"31";"32";"/96.6";"96";"4";"= 442";"+ 400A";"trim saw";"right hand side at rear
spare";"442M2"
"119";"119";"contact_signal_NC_1";"A";"pending";"873.08";"610.21";"1192.0";"871.0";"-K2M";"22";"21";"/96.6";"96";"4";"= 442";"+ 400A";"trim saw";"right hand side at rear
spare";"442M2"
"120";"120";"contact_signal_NC_1";"A";"pending";"566.94";"270.05";"1192.0";"871.0";"-K3M";"31";"32";"/97.6";"97";"4";"= 442";"+ 400A";"trim saw";"left hand side in front
spare";"442M3"
"121";"120";"contact_signal_NC_1";"A";"pending";"873.08";"610.21";"1192.0";"871.0";"-K3M";"22";"21";"/97.6";"97";"4";"= 442";"+ 400A";"trim saw";"left hand side in front
spare";"442M3"
"122";"121";"contact_signal_NC_1";"A";"pending";"873.08";"610.21";"1192.0";"871.0";"-K4M";"22";"21";"/98.6";"98";"4";"= 442";"+ 400A";"trim saw";"left hand side at rear
spare";"442M4"
"123";"121";"contact_signal_NC_1";"A";"pending";"566.94";"270.05";"1192.0";"871.0";"-K4M";"31";"32";"/98.6";"98";"4";"= 442";"+ 400A";"trim saw";"left hand side at rear
spare";"442M4"
"124";"122";"contact_signal_NC_1";"A";"pending";"1031.82";"576.19";"1192.0";"871.0";"-K1.1M";"22";"21";"/99.7";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"125";"122";"contact_signal_NC_1";"A";"pending";"918.43";"576.19";"1192.0";"871.0";"-K1.2M";"22";"21";"/99.8";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"126";"123";"contact_signal_NC_1";"A";"pending";"986.47";"576.19";"1192.0";"871.0";"-K1.1M";"22";"21";"/100.7";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"127";"123";"contact_signal_NC_1";"A";"pending";"895.76";"576.19";"1192.0";"871.0";"-K1.2M";"22";"21";"/100.8";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"128";"130";"contact_signal_NC_1";"A";"pending";"238.83";"474.15";"1192.0";"871.0";"";"95";"96";"2 4 6";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
