"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"55";"55";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"56";"56";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"57";"57";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"58";"58";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"59";"59";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"60";"60";"contact_power_3";"A";"pending";"215.44";"236.03";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"61";"60";"contact_power_3";"A";"pending";"374.18";"236.03";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"62";"60";"contact_power_3";"A";"pending";"215.44";"326.74";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"63";"60";"contact_power_3";"A";"pending";"374.18";"326.74";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"64";"62";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"65";"62";"contact_power_3";"A";"pending";"430.88";"338.08";"1192.0";"871.0";"";"5";"6";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"66";"63";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"67";"64";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"68";"65";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"69";"66";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23"
"70";"67";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24"
"71";"68";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
