"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"987";"130";"X_Simple_UpDown";"A";"pending";"215.43";"564.86";"1192.0";"871.0";"";"6";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"988";"130";"X_Simple_UpDown";"A";"pending";"192.75";"564.86";"1192.0";"871.0";"";"5";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"989";"130";"X_Simple_UpDown";"A";"pending";"170.07";"564.86";"1192.0";"871.0";"";"4";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"990";"130";"X_Simple_UpDown";"A";"pending";"238.11";"564.86";"1192.0";"871.0";"";"PE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"991";"130";"X_Simple_UpDown";"A";"pending";"272.12";"564.86";"1192.0";"871.0";"";"SE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"992";"130";"X_Simple_UpDown";"A";"pending";"646.3";"632.89";"1192.0";"871.0";"";"TE5";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"993";"130";"X_Simple_UpDown";"A";"pending";"600.94";"632.89";"1192.0";"871.0";"+C";"TE5";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"994";"130";"X_Simple_UpDown";"A";"pending";"646.3";"542.18";"1192.0";"871.0";"";"4";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"995";"130";"X_Simple_UpDown";"A";"pending";"600.94";"542.18";"1192.0";"871.0";"";"3";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"996";"130";"X_Simple_UpDown";"A";"pending";"668.97";"632.89";"1192.0";"871.0";"";"SE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"997";"130";"X_Simple_UpDown";"A";"pending";"419.52";"632.89";"1192.0";"871.0";"";"M6C";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"998";"130";"X_Simple_UpDown";"A";"pending";"396.85";"632.89";"1192.0";"871.0";"";"M6C";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"999";"130";"X_Simple_UpDown";"A";"pending";"374.17";"632.89";"1192.0";"871.0";"+C";"M6C";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1000";"130";"X_Simple_UpDown";"A";"pending";"442.2";"632.89";"1192.0";"871.0";"";"PE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1001";"130";"X_Simple_UpDown";"A";"pending";"419.52";"564.86";"1192.0";"871.0";"";"9";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1002";"130";"X_Simple_UpDown";"A";"pending";"396.85";"564.86";"1192.0";"871.0";"";"8";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1003";"130";"X_Simple_UpDown";"A";"pending";"374.17";"564.86";"1192.0";"871.0";"";"7";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1004";"130";"X_Simple_UpDown";"A";"pending";"442.2";"564.86";"1192.0";"871.0";"";"PE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1005";"130";"X_Simple_UpDown";"A";"pending";"476.22";"564.86";"1192.0";"871.0";"";"SE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1006";"130";"X_Simple_UpDown";"A";"pending";"850.39";"632.89";"1192.0";"871.0";"";"TE6";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1007";"130";"X_Simple_UpDown";"A";"pending";"805.04";"632.89";"1192.0";"871.0";"+C";"TE6";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1008";"130";"X_Simple_UpDown";"A";"pending";"850.39";"542.18";"1192.0";"871.0";"";"6";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1009";"130";"X_Simple_UpDown";"A";"pending";"805.04";"542.18";"1192.0";"871.0";"";"5";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1010";"130";"X_Simple_UpDown";"A";"pending";"873.07";"632.89";"1192.0";"871.0";"";"SE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1011";"130";"X_Simple_UpDown";"A";"pending";"668.97";"542.18";"1192.0";"871.0";"";"SE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1012";"130";"X_Simple_UpDown";"A";"pending";"873.07";"542.18";"1192.0";"871.0";"";"SE";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1013";"131";"X_Simple_UpDown";"A";"pending";"170.08";"122.65";"1192.0";"871.0";"";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1014";"131";"X_Simple_UpDown";"A";"pending";"124.72";"122.65";"1192.0";"871.0";"";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1015";"131";"X_Simple_UpDown";"A";"pending";"238.11";"122.65";"1192.0";"871.0";"";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1016";"131";"X_Simple_UpDown";"A";"pending";"283.46";"122.65";"1192.0";"871.0";"";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1017";"131";"X_Simple_UpDown";"A";"pending";"997.79";"247.38";"1192.0";"871.0";"";"I 2";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"1018";"132";"X_Simple_UpDown";"A";"pending";"215.43";"632.89";"1192.0";"871.0";"";"M7C";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1019";"132";"X_Simple_UpDown";"A";"pending";"192.75";"632.89";"1192.0";"871.0";"";"M7C";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1020";"132";"X_Simple_UpDown";"A";"pending";"170.07";"632.89";"1192.0";"871.0";"+C";"M7C";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1021";"132";"X_Simple_UpDown";"A";"pending";"238.11";"632.89";"1192.0";"871.0";"";"PE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1022";"132";"X_Simple_UpDown";"A";"pending";"215.43";"564.86";"1192.0";"871.0";"";"12";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1023";"132";"X_Simple_UpDown";"A";"pending";"192.75";"564.86";"1192.0";"871.0";"";"11";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1024";"132";"X_Simple_UpDown";"A";"pending";"170.07";"564.86";"1192.0";"871.0";"";"10";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1025";"132";"X_Simple_UpDown";"A";"pending";"238.11";"564.86";"1192.0";"871.0";"";"PE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1026";"132";"X_Simple_UpDown";"A";"pending";"272.12";"564.86";"1192.0";"871.0";"";"SE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1027";"132";"X_Simple_UpDown";"A";"pending";"646.3";"632.89";"1192.0";"871.0";"";"TE7";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1028";"132";"X_Simple_UpDown";"A";"pending";"600.94";"632.89";"1192.0";"871.0";"+C";"TE7";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1029";"132";"X_Simple_UpDown";"A";"pending";"646.3";"542.18";"1192.0";"871.0";"";"8";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1030";"132";"X_Simple_UpDown";"A";"pending";"600.94";"542.18";"1192.0";"871.0";"";"7";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1031";"132";"X_Simple_UpDown";"A";"pending";"668.97";"632.89";"1192.0";"871.0";"";"SE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1032";"132";"X_Simple_UpDown";"A";"pending";"419.52";"632.89";"1192.0";"871.0";"";"M8C";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1033";"132";"X_Simple_UpDown";"A";"pending";"396.85";"632.89";"1192.0";"871.0";"";"M8C";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1034";"132";"X_Simple_UpDown";"A";"pending";"374.17";"632.89";"1192.0";"871.0";"+C";"M8C";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1035";"132";"X_Simple_UpDown";"A";"pending";"442.2";"632.89";"1192.0";"871.0";"";"PE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1036";"132";"X_Simple_UpDown";"A";"pending";"419.52";"564.86";"1192.0";"871.0";"";"15";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1037";"132";"X_Simple_UpDown";"A";"pending";"396.85";"564.86";"1192.0";"871.0";"";"14";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1038";"132";"X_Simple_UpDown";"A";"pending";"374.17";"564.86";"1192.0";"871.0";"";"13";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1039";"132";"X_Simple_UpDown";"A";"pending";"442.2";"564.86";"1192.0";"871.0";"";"PE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1040";"132";"X_Simple_UpDown";"A";"pending";"476.22";"564.86";"1192.0";"871.0";"";"SE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1041";"132";"X_Simple_UpDown";"A";"pending";"850.39";"632.89";"1192.0";"871.0";"";"TE8";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1042";"132";"X_Simple_UpDown";"A";"pending";"805.04";"632.89";"1192.0";"871.0";"+C";"TE8";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1043";"132";"X_Simple_UpDown";"A";"pending";"850.39";"542.18";"1192.0";"871.0";"";"10";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1044";"132";"X_Simple_UpDown";"A";"pending";"805.04";"542.18";"1192.0";"871.0";"";"9";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1045";"132";"X_Simple_UpDown";"A";"pending";"873.07";"632.89";"1192.0";"871.0";"";"SE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1046";"132";"X_Simple_UpDown";"A";"pending";"668.97";"542.18";"1192.0";"871.0";"";"SE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1047";"132";"X_Simple_UpDown";"A";"pending";"873.07";"542.18";"1192.0";"871.0";"";"SE";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1048";"133";"X_Simple_UpDown";"A";"pending";"170.08";"122.65";"1192.0";"871.0";"";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1049";"133";"X_Simple_UpDown";"A";"pending";"124.72";"122.65";"1192.0";"871.0";"";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1050";"133";"X_Simple_UpDown";"A";"pending";"238.11";"122.65";"1192.0";"871.0";"";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1051";"133";"X_Simple_UpDown";"A";"pending";"283.46";"122.65";"1192.0";"871.0";"";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1052";"133";"X_Simple_UpDown";"A";"pending";"997.79";"247.38";"1192.0";"871.0";"";"I 3";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"1053";"134";"X_Simple_UpDown";"A";"pending";"215.43";"587.54";"1192.0";"871.0";"";"C M10";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1054";"134";"X_Simple_UpDown";"A";"pending";"192.75";"587.54";"1192.0";"871.0";"";"C M10";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1055";"134";"X_Simple_UpDown";"A";"pending";"170.07";"587.54";"1192.0";"871.0";"+C";"M10";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1056";"134";"X_Simple_UpDown";"A";"pending";"238.11";"587.54";"1192.0";"871.0";"";"C PE";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1057";"134";"X_Simple_UpDown";"A";"pending";"215.43";"519.5";"1192.0";"871.0";"";"3";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1058";"134";"X_Simple_UpDown";"A";"pending";"192.75";"519.5";"1192.0";"871.0";"";"2";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1059";"134";"X_Simple_UpDown";"A";"pending";"170.07";"519.5";"1192.0";"871.0";"";"1";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
