"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"55";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"487.56";"474.15";"1192.0";"871.0";"";"L5.12+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"56";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"487.56";"587.54";"1192.0";"871.0";"";"L5.12+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"57";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"578.27";"474.15";"1192.0";"871.0";"";"spare";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"58";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"578.27";"587.54";"1192.0";"871.0";"";"spare";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"59";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"60";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"61";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"62";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"63";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"64";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"65";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.12+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"66";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5.12+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"67";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
