"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"37";"36";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"38";"36";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"39";"36";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.13+";"L5.13+";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"40";"36";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"41";"37";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"42";"37";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"43";"37";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"44";"37";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.13+";"L5.13+";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"45";"37";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"46";"38";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
