"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"59";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"723.6";"1192.0";"871.0";"=413 +B3 -X";"L3-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"60";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"748.35";"610.21";"1192.0";"871.0";"=413-XKK3";"L4-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"61";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"748.35";"723.6";"1192.0";"871.0";"=413 +B3 -X";"L4-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"62";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"1009.13";"610.21";"1192.0";"871.0";"=413-XKK4";"L3-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"63";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"1009.13";"723.6";"1192.0";"871.0";"=413 +B5 -X";"L3-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"64";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"213.36";"1192.0";"871.0";"=413-XKK3";"L2.0";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"65";"47";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"326.75";"1192.0";"871.0";"=413 +B3 -X";"L2.0";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"66";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"158.74";"610.21";"1192.0";"871.0";"=418-XKK1";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"67";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"158.74";"723.6";"1192.0";"871.0";"=418 +D1 -X";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"68";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"610.21";"1192.0";"871.0";"=418-XKK3";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"69";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"723.6";"1192.0";"871.0";"=418 +D3 -X";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"70";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"748.35";"610.21";"1192.0";"871.0";"=418-XKK3";"L4-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
