"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"48";"19";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"340.16";"695.25";"1192.0";"871.0";"LFXK3+";"";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"49";"19";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"LFXK4+";"";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"50";"19";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"566.93";"695.25";"1192.0";"871.0";"LFXK5+";"";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"51";"19";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"680.32";"695.25";"1192.0";"871.0";"LFXK6+";"5";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"52";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"215.43";"695.25";"1192.0";"871.0";"L4-";"6c.1";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"53";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L4.11+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"54";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"351.5";"695.25";"1192.0";"871.0";"L4.10+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"55";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"566.93";"695.25";"1192.0";"871.0";"L4.12+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"56";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"680.32";"695.25";"1192.0";"871.0";"L4.13+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"57";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"793.7";"695.25";"1192.0";"871.0";"L4.14+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"58";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"907.09";"695.25";"1192.0";"871.0";"L4.15+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"59";"23";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"1020.47";"695.25";"1192.0";"871.0";"L4.16+";"";"";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
