"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"46";"7";"BusBar_Con_Down";"A";"approved";"646.3";"68.8";"1192.0";"871.0";"1L1";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"47";"7";"BusBar_Con_Down";"A";"approved";"691.65";"91.47";"1192.0";"871.0";"1L3";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"48";"7";"BusBar_Con_Down";"A";"approved";"793.7";"80.13";"1192.0";"871.0";"1L2";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"49";"7";"BusBar_Con_Down";"A";"approved";"771.02";"68.8";"1192.0";"871.0";"1L1";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"50";"7";"BusBar_Con_Down";"A";"approved";"816.38";"91.47";"1192.0";"871.0";"1L3";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"51";"7";"BusBar_Con_Down";"A";"approved";"1031.81";"80.13";"1192.0";"871.0";"1L2";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"52";"7";"BusBar_Con_Down";"A";"approved";"1009.13";"68.8";"1192.0";"871.0";"1L1";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"53";"7";"BusBar_Con_Down";"A";"approved";"1054.49";"91.47";"1192.0";"871.0";"1L3";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"54";"7";"BusBar_Con_Down";"A";"approved";"918.43";"80.13";"1192.0";"871.0";"1L2";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"55";"7";"BusBar_Con_Down";"A";"approved";"895.75";"68.8";"1192.0";"871.0";"1L1";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"56";"7";"BusBar_Con_Down";"A";"approved";"941.1";"91.47";"1192.0";"871.0";"1L3";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"57";"8";"BusBar_Con_Down";"A";"approved";"544.25";"511.0";"1192.0";"871.0";"PE";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"58";"9";"BusBar_Con_Down";"A";"approved";"680.32";"522.34";"1192.0";"871.0";"PE";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"59";"11";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.12";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"60";"11";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.12";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"61";"11";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.12";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"62";"11";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"63";"12";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.12";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"64";"12";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.12";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"65";"12";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.12";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"66";"12";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"67";"13";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.12";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"68";"13";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.12";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"69";"13";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.12";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"70";"13";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
