"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"92";"78";"X_Simple_UpDown";"A";"approved";"532.91";"406.12";"1192.0";"871.0";"";"Q34.5";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"93";"78";"X_Simple_UpDown";"A";"approved";"668.97";"406.12";"1192.0";"871.0";"";"Q34.6";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"94";"78";"X_Simple_UpDown";"A";"approved";"805.04";"406.12";"1192.0";"871.0";"";"Q34.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"95";"78";"X_Simple_UpDown";"A";"approved";"941.1";"406.12";"1192.0";"871.0";"";"Q50.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"96";"78";"X_Simple_UpDown";"A";"approved";"1077.16";"406.12";"1192.0";"871.0";"";"Q53.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"97";"78";"X_Simple_UpDown";"A";"approved";"260.78";"587.54";"1192.0";"871.0";"";"Q55.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"98";"78";"X_Simple_UpDown";"A";"approved";"396.85";"587.54";"1192.0";"871.0";"";"Q59.";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"99";"78";"X_Simple_UpDown";"A";"approved";"532.91";"587.54";"1192.0";"871.0";"";"Q59.3";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"100";"78";"X_Simple_UpDown";"A";"approved";"668.97";"587.54";"1192.0";"871.0";"";"Q59.4";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"101";"78";"X_Simple_UpDown";"A";"approved";"805.04";"587.54";"1192.0";"871.0";"";"Q59.5";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"102";"78";"X_Simple_UpDown";"A";"approved";"941.1";"587.54";"1192.0";"871.0";"";"Q59.6";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"103";"78";"X_Simple_UpDown";"A";"approved";"1077.16";"587.54";"1192.0";"871.0";"";"Q59.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"104";"78";"X_Simple_UpDown";"A";"approved";"260.78";"768.95";"1192.0";"871.0";"";"Q71.5";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"105";"78";"X_Simple_UpDown";"A";"approved";"396.85";"768.95";"1192.0";"871.0";"";"Q71.6";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"106";"78";"X_Simple_UpDown";"A";"approved";"532.91";"768.95";"1192.0";"871.0";"";"Q71.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"107";"78";"X_Simple_UpDown";"A";"approved";"668.97";"768.95";"1192.0";"871.0";"";"Q75.3";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"108";"78";"X_Simple_UpDown";"A";"approved";"805.04";"768.95";"1192.0";"871.0";"";"Q75.4";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"109";"78";"X_Simple_UpDown";"A";"approved";"941.1";"768.95";"1192.0";"871.0";"";"Q75.5";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"110";"78";"X_Simple_UpDown";"A";"approved";"1077.16";"768.95";"1192.0";"871.0";"";"Q75.6";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"111";"93";"X_Simple_UpDown";"A";"approved";"260.78";"224.7";"1192.0";"871.0";"";"Q31.5";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"112";"93";"X_Simple_UpDown";"A";"approved";"396.85";"224.7";"1192.0";"871.0";"";"Q45.7";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"113";"93";"X_Simple_UpDown";"A";"approved";"532.91";"224.7";"1192.0";"871.0";"";"Q47.7";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"114";"93";"X_Simple_UpDown";"A";"approved";"668.97";"224.7";"1192.0";"871.0";"";"Q49.7";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"115";"93";"X_Simple_UpDown";"A";"approved";"805.04";"224.7";"1192.0";"871.0";"";"Q50.0";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"116";"93";"X_Simple_UpDown";"A";"approved";"941.1";"224.7";"1192.0";"871.0";"";"Q50.2";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"117";"93";"X_Simple_UpDown";"A";"approved";"1077.16";"224.7";"1192.0";"871.0";"";"Q50.3";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"118";"93";"X_Simple_UpDown";"A";"approved";"260.78";"406.12";"1192.0";"871.0";"";"Q68.0";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"119";"93";"X_Simple_UpDown";"A";"approved";"396.85";"406.12";"1192.0";"871.0";"";"Q68.2";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"120";"93";"X_Simple_UpDown";"A";"approved";"532.91";"406.12";"1192.0";"871.0";"";"Q68.3";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"121";"93";"X_Simple_UpDown";"A";"approved";"668.97";"406.12";"1192.0";"871.0";"";"Q68.4";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"122";"93";"X_Simple_UpDown";"A";"approved";"805.04";"406.12";"1192.0";"871.0";"";"Q68.5";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"123";"93";"X_Simple_UpDown";"A";"approved";"941.1";"406.12";"1192.0";"871.0";"";"Q68.6";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"124";"93";"X_Simple_UpDown";"A";"approved";"396.85";"587.54";"1192.0";"871.0";"";"Q69.3";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"125";"93";"X_Simple_UpDown";"A";"approved";"532.91";"587.54";"1192.0";"871.0";"";"Q69.6";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"126";"93";"X_Simple_UpDown";"A";"approved";"668.97";"587.54";"1192.0";"871.0";"";"Q69.7";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
