"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"40";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"542.18";"1192.0";"871.0";"";"L5.11+";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"41";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"655.57";"1192.0";"871.0";"";"L5.11+";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"42";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"542.18";"1192.0";"871.0";"";"spare";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"43";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"655.57";"1192.0";"871.0";"";"spare";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"44";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"542.18";"1192.0";"871.0";"";"L3-";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"45";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"655.57";"1192.0";"871.0";"";"L3-";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"46";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"47";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"48";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"49";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"50";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"542.18";"1192.0";"871.0";"";"L5-";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"51";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"655.57";"1192.0";"871.0";"";"L5-";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"52";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"542.18";"1192.0";"871.0";"";"L5.11+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"53";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"655.57";"1192.0";"871.0";"";"L5.11+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"54";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"542.18";"1192.0";"871.0";"";"spare";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"55";"31";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"655.57";"1192.0";"871.0";"";"spare";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"56";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"600.94";"542.18";"1192.0";"871.0";"";"L5-2";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"57";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"226.77";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"58";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"542.18";"1192.0";"871.0";"";"L3-2";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"59";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"542.18";"1192.0";"871.0";"";"L5.12+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"60";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"317.48";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"61";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"655.57";"1192.0";"871.0";"";"L3-2";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"62";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"655.57";"1192.0";"871.0";"";"L5.12+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"63";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"600.94";"655.57";"1192.0";"871.0";"";"L5-2";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"64";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"226.77";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"65";"32";"X_Simple_V_3_Left_SZ";"A";"approved";"317.48";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"66";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"192.76";"474.15";"1192.0";"871.0";"";"L3-";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"67";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"260.79";"474.15";"1192.0";"871.0";"";"L3.10+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"68";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"260.79";"587.54";"1192.0";"871.0";"";"L3.10+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"69";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"351.5";"474.15";"1192.0";"871.0";"";"L3.20+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"70";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"351.5";"587.54";"1192.0";"871.0";"";"L3.20+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"71";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"430.87";"474.15";"1192.0";"871.0";"";"L5-";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"72";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"430.87";"587.54";"1192.0";"871.0";"";"L5-";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"73";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"521.57";"474.15";"1192.0";"871.0";"";"L5.12+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
