"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"description";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"28";"78";"O_SPS";"C";"approved";"1077.17";"190.68";"1192.0";"871.0";"A31.7";"/17b.8";"PLC-I";"-EG1.2/8";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"29";"78";"O_SPS";"C";"approved";"260.79";"372.1";"1192.0";"871.0";"A34.3";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"28";"CCHH 1199";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"30";"78";"O_SPS";"C";"approved";"124.72";"372.1";"1192.0";"871.0";"A34.2";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"27";"CCHH 1188";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"31";"78";"O_SPS";"C";"approved";"396.85";"372.1";"1192.0";"871.0";"A34.4";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"29";"CCHH 2200";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"32";"78";"O_SPS";"C";"approved";"532.91";"372.1";"1192.0";"871.0";"A34.5";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"30";"CCHH 2211";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"33";"78";"O_SPS";"C";"approved";"668.98";"372.1";"1192.0";"871.0";"A34.6";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"31";"CCHH 2222";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"34";"78";"O_SPS";"C";"approved";"805.04";"372.1";"1192.0";"871.0";"A34.7";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"32";"CCHH 2233";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"35";"78";"O_SPS";"C";"approved";"941.1";"372.1";"1192.0";"871.0";"A50.7";"/17c.3";"PLC-I";"-EG1.2/10";"Spare";"spare";"32";"CCHH 2233";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"36";"78";"O_SPS";"C";"approved";"1077.17";"372.1";"1192.0";"871.0";"A53.7";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"20";"CCHH 1155";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"37";"78";"O_SPS";"C";"approved";"260.79";"553.52";"1192.0";"871.0";"A55.7";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"38";"78";"O_SPS";"C";"approved";"124.72";"553.52";"1192.0";"871.0";"A55.6";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"39";"78";"O_SPS";"C";"approved";"396.85";"553.52";"1192.0";"871.0";"A59.2";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"36";"CCHH 2266";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"40";"78";"O_SPS";"C";"approved";"532.91";"553.52";"1192.0";"871.0";"A59.3";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"37";"CCHH 2277";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"41";"78";"O_SPS";"C";"approved";"668.98";"553.52";"1192.0";"871.0";"A59.4";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"38";"CCHH 2288";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
