"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"51";"51";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"8a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";"";"8a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"52";"52";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";"";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"53";"53";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"9a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";"";"9a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"54";"54";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"55";"55";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"56";"56";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"57";"57";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"12";"104";"= 400";"+ 400SPS";"general";"start warning";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"58";"58";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";"";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"59";"59";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";"";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"60";"60";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";"";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"61";"61";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";"";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"62";"62";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";"";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"63";"63";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";"";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"64";"64";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"65";"65";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"66";"66";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"67";"67";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"68";"68";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"69";"69";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"70";"70";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"71";"71";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"72";"72";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
