"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"69";"133";"pin_up";"A";"approved";"113.39";"224.7";"1192.0";"871.0";"3";"3";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"70";"133";"pin_up";"A";"approved";"294.8";"224.7";"1192.0";"871.0";"4";"4";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"71";"133";"pin_up";"A";"approved";"1009.13";"111.31";"1192.0";"871.0";"AL0";"AL0";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"72";"133";"pin_up";"A";"approved";"997.8";"190.68";"1192.0";"871.0";"AL1";"AL1";"3";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"73";"133";"pin_up";"A";"approved";"1020.47";"190.68";"1192.0";"871.0";"AL2";"AL2";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"74";"142";"pin_up";"A";"approved";"351.5";"304.07";"1192.0";"871.0";"-X?:L1";"-X?:L1";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"75";"142";"pin_up";"A";"approved";"374.17";"304.07";"1192.0";"871.0";"L2";"1 L2";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"76";"142";"pin_up";"A";"approved";"396.85";"304.07";"1192.0";"871.0";"L3";"L3";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"77";"142";"pin_up";"A";"approved";"419.53";"304.07";"1192.0";"871.0";"PE";"PE";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"78";"143";"pin_up";"A";"approved";"351.5";"304.07";"1192.0";"871.0";"-X1:L1";"-X1:L1";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"79";"143";"pin_up";"A";"approved";"374.17";"304.07";"1192.0";"871.0";"1 L2";"1 L2";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"80";"143";"pin_up";"A";"approved";"396.85";"304.07";"1192.0";"871.0";"L3";"L3";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"81";"143";"pin_up";"A";"approved";"419.53";"304.07";"1192.0";"871.0";"PE";"PE";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
