"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"42";"31";"BreakPoint_V_1";"A";"approved";"737.01";"430.57";"1192.0";"871.0";"==20.9400.201/60.5";"==20.9400.201/60.5";"";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"43";"31";"BreakPoint_V_1";"A";"approved";"816.38";"430.57";"1192.0";"871.0";"==20.9400.201/60.5";"==20.9400.201/60.5";"";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"44";"33";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/70.4";"==20.9400.201/70.4";"";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"45";"33";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/70.5";"==20.9400.201/70.5";"";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"46";"34";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/71.4";"==20.9400.201/71.4";"";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
"47";"34";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/71.5";"==20.9400.201/71.5";"";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
"48";"35";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/72.4";"==20.9400.201/72.4";"";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"49";"35";"BreakPoint_V_1";"A";"approved";"748.35";"430.57";"1192.0";"871.0";"==20.9400.201/72.5";"==20.9400.201/72.5";"";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"50";"36";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/73.4";"==20.9400.201/73.4";"";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"51";"36";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/73.5";"==20.9400.201/73.5";"";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"52";"37";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/74.4";"==20.9400.201/74.4";"";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"53";"37";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/74.5";"==20.9400.201/74.5";"";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"54";"39";"BreakPoint_V_1";"A";"approved";"861.73";"305.84";"1192.0";"871.0";"==20.9400.201/75a.1";"==20.9400.201/75a.1";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"55";"39";"BreakPoint_V_1";"A";"approved";"204.09";"396.55";"1192.0";"871.0";"==20.9400.201/75b.1";"==20.9400.201/75b.1";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"56";"39";"BreakPoint_V_1";"A";"approved";"294.8";"396.55";"1192.0";"871.0";"==20.9400.201/75b.2";"==20.9400.201/75b.2";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"57";"39";"BreakPoint_V_1";"A";"approved";"408.19";"396.55";"1192.0";"871.0";"==20.9400.201/75b.3";"==20.9400.201/75b.3";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"58";"39";"BreakPoint_V_1";"A";"approved";"521.57";"396.55";"1192.0";"871.0";"==20.9400.201/75b.4";"==20.9400.201/75b.4";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"59";"39";"BreakPoint_V_1";"A";"approved";"634.96";"396.55";"1192.0";"871.0";"==20.9400.201/75b.6";"==20.9400.201/75b.6";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"60";"39";"BreakPoint_V_1";"A";"approved";"748.35";"396.55";"1192.0";"871.0";"==20.9400.201/75b.7";"==20.9400.201/75b.7";"";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"61";"40";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/77.4";"==20.9400.201/77.4";"";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
