"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"28";"35";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"29";"36";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"30";"37";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"31";"38";"contact_power_2";"A";"approved";"192.77";"236.03";"1192.0";"871.0";"";"3";"4";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"32";"38";"contact_power_2";"A";"approved";"351.51";"236.03";"1192.0";"871.0";"";"3";"4";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"33";"38";"contact_power_2";"A";"approved";"192.77";"326.74";"1192.0";"871.0";"";"3";"4";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"34";"38";"contact_power_2";"A";"approved";"351.51";"326.74";"1192.0";"871.0";"";"3";"4";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"35";"40";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"36";"41";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21"
"37";"42";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22"
"38";"43";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"34";"17";"= 413";"+ 400A";"forming machine B";"left longitudinal screw conveyor";"413M23"
"39";"44";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"35";"17";"= 413";"+ 400A";"forming machine B";"right longitudinal screw conveyor";"413M24"
"40";"45";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26"
